equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Racing Club,2015,Argentina,40.25,1.1838235294117647,25.7,34,4,990.0,Fase de Grupos,Cuartos de Final
Club Libertad Asunción,2015,Paraguay,8.98,0.2040909090909091,24.2,44,5,709.0,Fase de Grupos,Fase de Grupos
Club Estudiantes de La Plata,2015,Argentina,25.6,0.7529411764705882,22.6,34,4,990.0,Fase 3,Octavos de Final
Club Atlético San Lorenzo de Almagro,2015,Argentina,50.65,1.2662499999999999,25.3,40,7,990.0,Fase de Grupos,Fase de Grupos
Club Cerro Porteño,2015,Paraguay,10.5,0.3181818181818182,25.4,33,2,709.0,Fase 3,Fase 3
Atlético Nacional,2015,Colombia,26.6,0.6045454545454546,25.4,44,4,711.0,Fase de Grupos,Octavos de Final
Club Nacional,2015,Uruguay,24.0,0.48,24.9,50,5,,Fase 3,Fase 3
Independiente del Valle,2015,Ecuador,23.4,0.5571428571428572,22.1,42,5,601.0,Fase 3,Fase 3
Club Atlético Huracán,2015,Argentina,25.28,0.6482051282051282,26.9,39,2,990.0,Fase 3,Fase de Grupos
Barcelona SC Guayaquil,2015,Ecuador,38.3,0.7365384615384615,24.9,52,10,601.0,Fase de Grupos,Fase de Grupos
CSD Colo Colo,2015,Chile,14.95,0.40405405405405403,24.0,37,6,476.0,Fase de Grupos,Fase de Grupos
Independiente Santa Fe,2015,Colombia,18.23,0.45575,24.4,40,5,711.0,Fase de Grupos,Cuartos de Final
Universidad de Chile,2015,Chile,20.63,0.5428947368421052,24.9,38,8,476.0,Fase de Grupos,Fase de Grupos
CS Emelec,2015,Ecuador,25.2,0.681081081081081,24.0,37,7,601.0,Fase de Grupos,Cuartos de Final
Club Guaraní,2015,Paraguay,5.98,0.2214814814814815,26.9,27,4,709.0,Fase de Grupos,Semifinales
Cruzeiro Esporte Clube,2015,Brasil,100.6,2.1869565217391305,24.1,46,6,899.0,Fase de Grupos,Cuartos de Final
Once Caldas,2015,Colombia,8.05,0.2175675675675676,24.4,37,7,711.0,Fase 3,Fase 3
CD Palestino,2015,Chile,3.78,0.09219512195121951,22.7,41,10,476.0,Fase 3,Fase de Grupos
The Strongest La Paz,2015,Bolivia,2.45,0.07,27.2,35,10,,Fase 3,Fase de Grupos
Club Sporting Cristal,2015,Perú,10.5,0.3181818181818182,24.3,33,5,,Fase de Grupos,Fase de Grupos
Club Alianza Lima,2015,Perú,13.18,0.29954545454545456,23.0,44,5,,Fase 3,Fase 3
Club Atlético Morelia,2015,México,40.55,0.7372727272727272,24.8,55,14,595.5,Fase 3,Fase 3
Montevideo Wanderers,2015,Uruguay,12.68,0.3092682926829268,21.5,41,1,,Fase de Grupos,Octavos de Final
Deportivo Táchira,2015,Venezuela,2.58,0.09923076923076923,23.9,26,3,,Fase 3,Fase de Grupos
Danubio FC,2015,Uruguay,18.9,0.40212765957446805,22.5,47,4,,Fase de Grupos,Fase de Grupos
Zamora FC,2015,Venezuela,0.45,0.013235294117647059,23.8,34,6,,Fase de Grupos,Fase de Grupos
Club Juan Aurich,2015,Perú,8.73,0.2645454545454546,23.0,33,5,,Fase de Grupos,Fase de Grupos
Mineros de Guayana,2015,Venezuela,3.1,0.11481481481481481,25.6,27,3,,Fase de Grupos,Fase de Grupos
Club Deportivo San José Oruro,2015,Bolivia,2.88,0.08470588235294117,27.2,34,14,,Fase de Grupos,Fase de Grupos
Club Universitario de Sucre,2015,Bolivia,4.55,0.1058139534883721,26.7,43,16,,Fase de Grupos,Octavos de Final
Clube de Regatas do Flamengo,2014,Brasil,33.1,0.7522727272727273,23.6,44,6,893.0,Fase de Grupos,Fase de Grupos
Clube Atlético Mineiro,2014,Brasil,64.55,1.3173469387755101,24.9,49,2,893.0,Fase de Grupos,Octavos de Final
Grêmio Foot-Ball Porto Alegrense,2014,Brasil,51.0,1.1590909090909092,22.2,44,5,893.0,Fase de Grupos,Octavos de Final
Santos Laguna,2014,México,31.55,0.8527027027027028,22.7,37,9,653.5,Fase de Grupos,Octavos de Final
Club Atlético Vélez Sarsfield,2014,Argentina,28.5,0.5377358490566038,21.7,53,4,938.0,Fase de Grupos,Octavos de Final
Club Athletico Paranaense,2014,Brasil,13.75,0.29891304347826086,22.0,46,3,893.0,Fase 3,Fase de Grupos
Club Atlético Lanús,2014,Argentina,31.12,0.740952380952381,24.1,42,5,938.0,Fase 3,Cuartos de Final
Club León FC,2014,México,31.9,0.6934782608695652,22.9,46,11,653.5,Fase de Grupos,Octavos de Final
Club Atlético San Lorenzo de Almagro,2014,Argentina,39.73,1.135142857142857,25.6,35,5,938.0,Fase de Grupos,Campeón
Club Atlético Newell's Old Boys,2014,Argentina,32.67,0.6405882352941177,23.2,51,3,938.0,Fase de Grupos,Fase de Grupos
Club Cerro Porteño,2014,Paraguay,9.35,0.2597222222222222,24.3,36,3,671.5,Fase de Grupos,Octavos de Final
Atlético Nacional,2014,Colombia,20.9,0.48604651162790696,23.7,43,2,697.5,Fase de Grupos,Cuartos de Final
CA Peñarol,2014,Uruguay,21.0,0.4772727272727273,25.8,44,6,452.5,Fase de Grupos,Fase de Grupos
Botafogo de Futebol e Regatas,2014,Brasil,35.35,0.6931372549019608,23.9,51,6,893.0,Fase 3,Fase de Grupos
Club Nacional,2014,Uruguay,17.98,0.46102564102564103,24.5,39,4,452.5,Fase 3,Fase de Grupos
Independiente del Valle,2014,Ecuador,19.05,0.7055555555555556,22.4,27,5,627.5,Fase de Grupos,Fase de Grupos
Independiente Santa Fe,2014,Colombia,15.88,0.4411111111111111,25.5,36,5,697.5,Fase 3,Fase de Grupos
Universidad de Chile,2014,Chile,20.93,0.5104878048780488,22.7,41,10,552.0,Fase 3,Fase de Grupos
CS Emelec,2014,Ecuador,28.13,0.6697619047619048,23.5,42,8,627.5,Fase de Grupos,Fase de Grupos
Deportivo Cali,2014,Colombia,18.05,0.353921568627451,23.6,51,7,697.5,Fase de Grupos,Fase de Grupos
Club Guaraní,2014,Paraguay,5.23,0.20920000000000002,25.6,25,7,671.5,Fase 3,Fase 3
Cruzeiro Esporte Clube,2014,Brasil,55.65,1.325,24.4,42,4,893.0,Fase de Grupos,Cuartos de Final
Bolívar La Paz,2014,Bolivia,6.93,0.25666666666666665,26.4,27,9,461.0,Fase de Grupos,Semifinales
Unión Española,2014,Chile,10.88,0.3509677419354839,24.1,31,10,552.0,Fase de Grupos,Octavos de Final
The Strongest La Paz,2014,Bolivia,1.13,0.04185185185185185,26.3,27,7,461.0,Fase de Grupos,Octavos de Final
Club Sporting Cristal,2014,Perú,5.65,0.1765625,23.5,32,4,305.5,Fase 3,Fase 3
Universitario de Deportes,2014,Perú,4.33,0.10069767441860465,21.6,43,6,305.5,Fase de Grupos,Fase de Grupos
Club Nacional Asunción,2014,Paraguay,4.75,0.16964285714285715,25.6,28,1,671.5,Fase de Grupos,Final
Club Deportivo Oriente Petrolero,2014,Bolivia,4.2,0.16153846153846155,26.4,26,8,461.0,Fase 3,Fase 3
Arsenal Fútbol Club,2014,Argentina,28.95,0.5676470588235294,23.8,51,9,938.0,Fase de Grupos,Cuartos de Final
Club Atlético Morelia,2014,México,41.7,0.8340000000000001,25.0,50,10,653.5,Fase 3,Fase 3
Caracas FC,2014,Venezuela,1.03,0.039615384615384615,23.6,26,1,360.5,Fase 3,Fase 3
CD O'Higgins,2014,Chile,9.05,0.24459459459459462,23.7,37,8,552.0,Fase de Grupos,Fase de Grupos
Cusco FC,2014,Perú,3.58,0.0895,25.3,40,7,305.5,Fase de Grupos,Fase de Grupos
Defensor Sporting Club,2014,Uruguay,17.63,0.40068181818181814,23.1,44,2,452.5,Fase de Grupos,Semifinales
Zamora FC,2014,Venezuela,1.35,0.05625,24.4,24,6,360.5,Fase de Grupos,Fase de Grupos
Deportivo Quito,2014,Ecuador,10.5,0.22826086956521738,23.3,46,3,627.5,Fase 3,Fase 3
Deportivo Anzoátegui SC,2014,Venezuela,1.85,0.05,24.7,37,6,360.5,Fase de Grupos,Fase de Grupos
Sociedade Esportiva Palmeiras,2013,Brasil,49.15,0.7123188405797102,23.9,69,6,896.0,Fase de Grupos,Octavos de Final
Clube Atlético Mineiro,2013,Brasil,51.1,1.1108695652173914,24.3,46,1,896.0,Fase de Grupos,Campeón
Club Atlético Boca Juniors,2013,Argentina,52.75,0.8940677966101694,23.5,59,3,868.0,Fase de Grupos,Cuartos de Final
Grêmio Foot-Ball Porto Alegrense,2013,Brasil,70.0,1.2962962962962963,23.8,54,6,896.0,Fase 3,Octavos de Final
São Paulo Futebol Clube,2013,Brasil,117.55,2.2179245283018867,23.3,53,4,896.0,Fase 3,Octavos de Final
Sport Club Corinthians Paulista,2013,Brasil,74.05,1.5755319148936169,24.0,47,5,896.0,Fase de Grupos,Octavos de Final
Club Atlético Vélez Sarsfield,2013,Argentina,37.23,0.93075,22.5,40,4,868.0,Fase de Grupos,Octavos de Final
Fluminense Football Club,2013,Brasil,86.1,1.5944444444444443,22.7,54,7,896.0,Fase de Grupos,Cuartos de Final
Club León FC,2013,México,25.15,0.6448717948717948,24.3,39,7,678.5,Fase 3,Fase 3
Club Libertad Asunción,2013,Paraguay,9.33,0.27441176470588236,24.0,34,4,721.0,Fase de Grupos,Fase de Grupos
Deportivo Toluca FC,2013,México,30.75,0.9919354838709677,25.3,31,5,678.5,Fase de Grupos,Fase de Grupos
Club Tijuana,2013,México,31.2,0.7999999999999999,25.0,39,13,678.5,Fase de Grupos,Cuartos de Final
Club Atlético Newell's Old Boys,2013,Argentina,32.17,0.7846341463414634,24.5,41,6,868.0,Fase de Grupos,Semifinales
Club Cerro Porteño,2013,Paraguay,13.98,0.3251162790697675,25.3,43,10,721.0,Fase de Grupos,Fase de Grupos
CA Peñarol,2013,Uruguay,21.35,0.4542553191489362,24.7,47,5,429.0,Fase de Grupos,Fase de Grupos
Club Olimpia Asunción,2013,Paraguay,14.98,0.4048648648648649,26.0,37,9,721.0,Fase 3,Final
Deportes Tolima,2013,Colombia,18.9,0.40212765957446805,24.5,47,8,724.5,Fase 3,Fase de Grupos
Club Nacional,2013,Uruguay,21.78,0.5584615384615385,24.7,39,3,429.0,Fase de Grupos,Octavos de Final
Millonarios FC,2013,Colombia,27.1,0.615909090909091,24.5,44,7,724.5,Fase de Grupos,Fase de Grupos
LDU Quito,2013,Ecuador,15.05,0.3960526315789474,24.7,38,7,587.5,Fase 3,Fase 3
Barcelona SC Guayaquil,2013,Ecuador,18.85,0.42840909090909096,24.3,44,10,587.5,Fase de Grupos,Fase de Grupos
Independiente Santa Fe,2013,Colombia,23.2,0.49361702127659574,24.3,47,7,724.5,Fase de Grupos,Semifinales
Universidad de Chile,2013,Chile,18.88,0.4290909090909091,22.1,44,11,621.5,Fase de Grupos,Fase de Grupos
CS Emelec,2013,Ecuador,9.65,0.22976190476190478,23.4,42,6,587.5,Fase de Grupos,Octavos de Final
Bolívar La Paz,2013,Bolivia,3.3,0.18333333333333332,26.1,18,4,370.0,Fase 3,Fase 3
Club Deportivo Huachipato,2013,Chile,8.0,0.22857142857142856,24.2,35,8,621.5,Fase de Grupos,Fase de Grupos
Club Atlético Tigre,2013,Argentina,16.78,0.41950000000000004,25.0,40,2,868.0,Fase 3,Octavos de Final
The Strongest La Paz,2013,Bolivia,1.48,0.05285714285714286,26.0,28,8,370.0,Fase de Grupos,Fase de Grupos
Club Sporting Cristal,2013,Perú,6.85,0.18513513513513513,23.4,37,4,384.0,Fase de Grupos,Fase de Grupos
Arsenal Fútbol Club,2013,Argentina,23.95,0.59875,23.9,40,2,868.0,Fase de Grupos,Fase de Grupos
Caracas FC,2013,Venezuela,4.48,0.12444444444444445,22.6,36,5,351.0,Fase de Grupos,Fase de Grupos
Cusco FC,2013,Perú,2.68,0.08375,25.0,32,8,384.0,Fase de Grupos,Cuartos de Final
Universidad César Vallejo,2013,Perú,5.73,0.17363636363636364,26.3,33,4,384.0,Fase 3,Fase 3
Defensor Sporting Club,2013,Uruguay,15.15,0.3695121951219512,22.9,41,5,429.0,Fase 3,Fase 3
Club Deportes Iquique,2013,Chile,9.53,0.2027659574468085,23.9,47,8,621.5,Fase 3,Fase de Grupos
Deportivo Lara,2013,Venezuela,2.43,0.07363636363636364,25.9,33,6,351.0,Fase de Grupos,Fase de Grupos
Club Deportivo San José Oruro,2013,Bolivia,2.25,0.09375,26.9,24,5,370.0,Fase de Grupos,Fase de Grupos
Deportivo Anzoátegui SC,2013,Venezuela,2.53,0.061707317073170724,24.0,41,10,351.0,Fase 3,Fase 3
Clube de Regatas do Flamengo,2012,Brasil,58.3,0.9557377049180328,23.6,61,6,1058.0,Fase 3,Fase de Grupos
Club Atlético Boca Juniors,2012,Argentina,38.09,0.7468627450980393,23.4,51,4,919.0,Fase de Grupos,Final
CD Cruz Azul,2012,México,35.65,1.048529411764706,25.2,34,5,614.5,Fase de Grupos,Octavos de Final
Sport Club Corinthians Paulista,2012,Brasil,66.55,1.478888888888889,23.9,45,6,1058.0,Fase de Grupos,Campeón
Tigres UANL,2012,México,39.25,1.1893939393939394,23.7,33,7,614.5,Fase 3,Fase 3
Club Atlético Vélez Sarsfield,2012,Argentina,43.85,1.0695121951219513,22.3,41,2,919.0,Fase de Grupos,Cuartos de Final
Sport Club Internacional,2012,Brasil,74.1,1.2349999999999999,23.2,60,6,1058.0,Fase 3,Octavos de Final
Santos FC,2012,Brasil,111.65,2.1066037735849057,22.6,53,6,1058.0,Fase de Grupos,Semifinales
Club Atlético Lanús,2012,Argentina,36.88,0.8381818181818183,23.0,44,5,919.0,Fase de Grupos,Octavos de Final
Fluminense Football Club,2012,Brasil,48.9,1.1113636363636363,22.6,44,4,1058.0,Fase de Grupos,Cuartos de Final
CD Guadalajara,2012,México,31.9,0.996875,21.9,32,0,614.5,Fase de Grupos,Fase de Grupos
Club Libertad Asunción,2012,Paraguay,12.03,0.40099999999999997,24.8,30,7,712.5,Fase de Grupos,Cuartos de Final
Club de Regatas Vasco da Gama,2012,Brasil,45.5,0.7583333333333333,23.8,60,3,1058.0,Fase de Grupos,Cuartos de Final
Club Deportivo Godoy Cruz Antonio Tomba,2012,Argentina,18.43,0.4981081081081081,24.3,37,4,919.0,Fase de Grupos,Fase de Grupos
Atlético Nacional,2012,Colombia,26.3,0.7108108108108109,23.5,37,4,589.0,Fase de Grupos,Octavos de Final
CA Peñarol,2012,Uruguay,18.35,0.47051282051282056,23.3,39,6,493.0,Fase 3,Fase de Grupos
Junior de Barranquilla,2012,Colombia,19.9,0.5378378378378378,24.3,37,2,589.0,Fase de Grupos,Fase de Grupos
CD Universidad Católica,2012,Chile,24.3,0.45849056603773586,22.7,53,9,711.5,Fase de Grupos,Fase de Grupos
Club Olimpia Asunción,2012,Paraguay,15.93,0.4551428571428571,25.5,35,12,712.5,Fase de Grupos,Fase de Grupos
Club Nacional,2012,Uruguay,22.8,0.5066666666666667,24.3,45,8,493.0,Fase de Grupos,Fase de Grupos
Universidad de Chile,2012,Chile,24.08,0.602,21.5,40,10,711.5,Fase de Grupos,Semifinales
CS Emelec,2012,Ecuador,7.8,0.1625,24.9,48,8,688.0,Fase de Grupos,Octavos de Final
Bolívar La Paz,2012,Bolivia,3.95,0.17173913043478262,24.4,23,5,387.0,Fase de Grupos,Octavos de Final
Unión Española,2012,Chile,10.88,0.3108571428571429,22.6,35,8,711.5,Fase 3,Octavos de Final
Once Caldas,2012,Colombia,17.85,0.31315789473684214,22.6,57,7,589.0,Fase 3,Fase 3
The Strongest La Paz,2012,Bolivia,1.65,0.066,27.0,25,8,387.0,Fase de Grupos,Fase de Grupos
Club Nacional Asunción,2012,Paraguay,7.3,0.2517241379310345,26.3,29,5,712.5,Fase de Grupos,Fase de Grupos
Club Alianza Lima,2012,Perú,9.6,0.17142857142857143,21.4,56,7,445.5,Fase de Grupos,Fase de Grupos
Arsenal Fútbol Club,2012,Argentina,29.29,0.8614705882352941,24.8,34,3,919.0,Fase 3,Fase de Grupos
Sport Huancayo,2012,Perú,3.0,0.0625,23.0,48,6,445.5,Fase 3,Fase 3
Caracas FC,2012,Venezuela,4.85,0.13472222222222222,22.4,36,4,290.0,Fase 3,Fase 3
Deportivo Táchira,2012,Venezuela,8.55,0.19,24.5,45,10,290.0,Fase de Grupos,Fase de Grupos
Defensor Sporting Club,2012,Uruguay,13.2,0.388235294117647,23.1,34,2,493.0,Fase de Grupos,Fase de Grupos
Real Potosí,2012,Bolivia,0.075,0.003947368421052632,25.3,19,7,387.0,Fase 3,Fase 3
Zamora FC,2012,Venezuela,1.03,0.026410256410256412,24.5,39,8,290.0,Fase de Grupos,Fase de Grupos
Club Juan Aurich,2012,Perú,8.28,0.1562264150943396,23.8,53,8,445.5,Fase de Grupos,Fase de Grupos
CD El Nacional,2012,Ecuador,0.7,0.018421052631578946,21.9,38,0,688.0,Fase 3,Fase 3
Deportivo Quito,2012,Ecuador,8.0,0.15384615384615385,24.1,52,11,688.0,Fase de Grupos,Octavos de Final
Grêmio Foot-Ball Porto Alegrense,2011,Brasil,67.1,1.1372881355932203,23.6,59,4,889.0,Fase 3,Octavos de Final
CF América,2011,México,41.4,1.1828571428571428,24.4,35,6,629.0,Fase de Grupos,Octavos de Final
Sport Club Corinthians Paulista,2011,Brasil,56.9,1.115686274509804,23.6,51,4,889.0,Fase 3,Fase 3
Club Atlético Vélez Sarsfield,2011,Argentina,35.03,0.854390243902439,23.8,41,4,840.0,Fase de Grupos,Semifinales
Sport Club Internacional,2011,Brasil,61.5,1.0081967213114753,23.4,61,7,889.0,Fase de Grupos,Octavos de Final
Santos FC,2011,Brasil,114.25,1.731060606060606,22.2,66,4,889.0,Fase de Grupos,Campeón
Fluminense Football Club,2011,Brasil,55.7,1.0921568627450982,23.8,51,6,889.0,Fase de Grupos,Octavos de Final
Club Atlético Independiente,2011,Argentina,44.23,0.8845999999999999,24.6,50,8,840.0,Fase 3,Fase de Grupos
Club Libertad Asunción,2011,Paraguay,15.2,0.4108108108108108,24.2,37,7,725.0,Fase de Grupos,Cuartos de Final
Club Estudiantes de La Plata,2011,Argentina,35.4,0.8634146341463415,23.9,41,6,840.0,Fase de Grupos,Octavos de Final
Asociación Atlética Argentinos Juniors,2011,Argentina,18.03,0.34018867924528307,22.7,53,6,840.0,Fase de Grupos,Fase de Grupos
Club Deportivo Godoy Cruz Antonio Tomba,2011,Argentina,20.93,0.5366666666666666,24.7,39,4,840.0,Fase de Grupos,Fase de Grupos
Club Cerro Porteño,2011,Paraguay,9.93,0.3103125,23.8,32,6,725.0,Fase de Grupos,Semifinales
CA Peñarol,2011,Uruguay,21.08,0.49023255813953487,23.3,43,7,426.5,Fase de Grupos,Final
Junior de Barranquilla,2011,Colombia,14.95,0.3833333333333333,23.7,39,2,617.0,Fase de Grupos,Octavos de Final
CD Universidad Católica,2011,Chile,17.45,0.39659090909090905,22.8,44,10,741.5,Fase de Grupos,Cuartos de Final
Deportes Tolima,2011,Colombia,21.23,0.433265306122449,25.2,49,10,617.0,Fase 3,Fase de Grupos
Club Nacional,2011,Uruguay,25.35,0.5393617021276597,23.2,47,10,426.5,Fase de Grupos,Fase de Grupos
LDU Quito,2011,Ecuador,18.48,0.44,26.1,42,8,619.5,Fase de Grupos,Octavos de Final
CSD Colo Colo,2011,Chile,23.43,0.5578571428571428,23.7,42,9,741.5,Fase de Grupos,Fase de Grupos
CS Emelec,2011,Ecuador,7.9,0.1926829268292683,24.9,41,9,619.5,Fase de Grupos,Fase de Grupos
Club Guaraní,2011,Paraguay,6.33,0.1472093023255814,25.0,43,14,725.0,Fase de Grupos,Fase de Grupos
Cruzeiro Esporte Clube,2011,Brasil,64.15,1.2830000000000001,23.4,50,5,889.0,Fase de Grupos,Octavos de Final
Bolívar La Paz,2011,Bolivia,4.85,0.18653846153846151,25.4,26,7,307.0,Fase 3,Fase 3
Unión Española,2011,Chile,11.2,0.32941176470588235,24.5,34,8,741.5,Fase 3,Fase de Grupos
Once Caldas,2011,Colombia,10.93,0.26658536585365855,23.1,41,4,617.0,Fase de Grupos,Cuartos de Final
Liverpool FC Montevideo,2011,Uruguay,9.88,0.30875,23.6,32,3,426.5,Fase 3,Fase 3
Club Alianza Lima,2011,Perú,9.15,0.21785714285714286,23.1,42,9,380.0,Fase 3,Fase 3
Club Deportivo Oriente Petrolero,2011,Bolivia,2.75,0.07857142857142857,24.3,35,9,307.0,Fase de Grupos,Fase de Grupos
Club Jorge Wilstermann ,2011,Bolivia,1.4,0.04242424242424242,24.5,33,16,307.0,Fase de Grupos,Fase de Grupos
Caracas FC,2011,Venezuela,4.75,0.12179487179487179,23.8,39,6,290.0,Fase de Grupos,Fase de Grupos
Universidad San Martín de Porres,2011,Perú,8.0,0.21052631578947367,24.2,38,8,380.0,Fase de Grupos,Fase de Grupos
Deportivo Táchira,2011,Venezuela,7.55,0.24354838709677418,25.0,31,4,290.0,Fase de Grupos,Fase de Grupos
Deportivo Quito,2011,Ecuador,10.85,0.2358695652173913,26.4,46,11,619.5,Fase 3,Fase 3
Deportivo Petare FC,2011,Venezuela,0.3,0.010344827586206896,24.2,29,4,290.0,Fase 3,Fase 3
CD León de Huánuco,2011,Perú,5.05,0.11477272727272726,25.5,44,6,380.0,Fase de Grupos,Fase de Grupos
Chiapas FC,2011,México,37.0,1.088235294117647,25.4,34,8,629.0,Fase 3,Cuartos de Final
San Luis FC,2011,México,25.3,0.7441176470588236,25.2,34,8,629.0,Fase de Grupos,Fase de Grupos
Clube de Regatas do Flamengo,2010,Brasil,75.0,1.3392857142857142,24.0,56,6,982.0,Fase de Grupos,Cuartos de Final
São Paulo Futebol Clube,2010,Brasil,78.3,1.9575,24.2,40,2,982.0,Fase de Grupos,Semifinales
CF Monterrey,2010,México,54.45,1.5125000000000002,25.1,36,8,690.0,Fase de Grupos,Fase de Grupos
Sport Club Corinthians Paulista,2010,Brasil,48.55,1.1559523809523808,24.1,42,5,982.0,Fase de Grupos,Fase de Grupos
Club Atlético Vélez Sarsfield,2010,Argentina,50.23,1.3575675675675676,23.7,37,3,861.0,Fase de Grupos,Octavos de Final
Sport Club Internacional,2010,Brasil,94.9,1.555737704918033,23.7,61,6,982.0,Fase de Grupos,Campeón
Club Atlético Lanús,2010,Argentina,39.0,0.975,23.7,40,5,861.0,Fase de Grupos,Fase de Grupos
CD Guadalajara,2010,México,40.2,1.1485714285714286,22.4,35,0,690.0,Octavos de Final,Final
Club Atlético Colón,2010,Argentina,21.63,0.618,24.2,35,5,861.0,Fase 3,Fase 3
Club Libertad Asunción,2010,Paraguay,6.0,0.15384615384615385,22.4,39,3,611.0,Fase de Grupos,Cuartos de Final
Club Estudiantes de La Plata,2010,Argentina,49.1,1.1690476190476191,24.2,42,5,861.0,Fase de Grupos,Cuartos de Final
Club Atlético Newell's Old Boys,2010,Argentina,23.4,0.5571428571428572,23.6,42,6,861.0,Fase 3,Fase 3
Club Atlético Banfield,2010,Argentina,23.98,0.5995,23.8,40,4,861.0,Fase de Grupos,Octavos de Final
Club Cerro Porteño,2010,Paraguay,13.53,0.30066666666666664,23.5,45,6,611.0,Fase de Grupos,Fase de Grupos
Junior de Barranquilla,2010,Colombia,17.73,0.45461538461538464,25.7,39,3,585.5,Fase 3,Fase 3
CD Universidad Católica,2010,Chile,22.53,0.5928947368421053,23.9,38,10,585.5,Fase 3,Fase de Grupos
Club Nacional,2010,Uruguay,13.55,0.4370967741935484,23.2,31,4,522.5,Fase de Grupos,Octavos de Final
CSD Colo Colo,2010,Chile,23.85,0.6814285714285715,23.9,35,11,585.5,Fase de Grupos,Fase de Grupos
Universidad de Chile,2010,Chile,20.08,0.5284210526315789,23.5,38,10,585.5,Fase de Grupos,Semifinales
CS Emelec,2010,Ecuador,8.5,0.24285714285714285,24.8,35,9,662.5,Fase 3,Fase de Grupos
Independiente Medellín,2010,Colombia,19.6,0.49000000000000005,23.0,40,7,585.5,Fase de Grupos,Fase de Grupos
Cruzeiro Esporte Clube,2010,Brasil,58.05,1.2351063829787234,23.4,47,5,982.0,Fase 3,Cuartos de Final
Bolívar La Paz,2010,Bolivia,3.6,0.16363636363636364,25.4,22,6,359.0,Fase de Grupos,Fase de Grupos
Once Caldas,2010,Colombia,17.73,0.3772340425531915,23.3,47,4,585.5,Fase de Grupos,Octavos de Final
Universitario de Deportes,2010,Perú,7.2,0.2057142857142857,23.3,35,4,624.5,Fase de Grupos,Octavos de Final
Club Nacional Asunción,2010,Paraguay,3.65,0.14038461538461539,24.8,26,2,611.0,Fase de Grupos,Fase de Grupos
Club Alianza Lima,2010,Perú,10.73,0.26825,24.0,40,6,624.5,Fase de Grupos,Octavos de Final
Deportivo Cuenca,2010,Ecuador,5.18,0.14388888888888887,24.3,36,4,662.5,Fase de Grupos,Fase de Grupos
Club Atlético Morelia,2010,México,34.35,0.9541666666666667,24.0,36,7,690.0,Fase de Grupos,Fase de Grupos
Caracas FC,2010,Venezuela,3.78,0.105,24.9,36,5,295.5,Fase de Grupos,Fase de Grupos
Deportivo Táchira,2010,Venezuela,4.28,0.14266666666666666,25.1,30,5,295.5,Fase 3,Fase 3
Blooming Santa Cruz,2010,Bolivia,3.25,0.10483870967741936,24.7,31,10,359.0,Fase de Grupos,Fase de Grupos
Real Potosí,2010,Bolivia,,,26.3,22,7,359.0,Fase 3,Fase 3
Racing Club de Montevideo,2010,Uruguay,6.38,0.1635897435897436,23.9,39,0,522.5,Fase 3,Fase de Grupos
Club Atlético Cerro,2010,Uruguay,8.18,0.21526315789473682,24.0,38,2,522.5,Fase de Grupos,Fase de Grupos
Club Juan Aurich,2010,Perú,8.75,0.26515151515151514,25.8,33,5,624.5,Fase 3,Fase de Grupos
Deportivo Quito,2010,Ecuador,9.6,0.2823529411764706,25.5,34,7,662.5,Fase de Grupos,Fase de Grupos
Tecos FC,2010,México,24.65,0.7703125,25.6,32,9,690.0,Fase 3,Fase 3
Deportivo Italia,2010,Venezuela,0.95,0.03166666666666666,26.6,30,7,295.5,Fase de Grupos,Fase de Grupos
San Luis FC,2010,México,30.25,0.8175675675675675,25.9,37,10,690.0,Octavos de Final,Octavos de Final
