equipo,edicion,pais,valor_mercado,promedio_valor_mercado,promedio_edad,cantidad_jugadores,cantidad_jugadores_extranjeros,puntos_ranking_liga,fase_inicio,fase_termino
Club Libertad Asunción,2016,Paraguay,11.0,0.2894736842105263,26.0,38,6,621.5,Fase 1,Fase 1
CA Peñarol,2016,Uruguay,29.4,0.6533333333333333,24.3,45,6,374.0,Fase 1,Fase 1
CD Universidad Católica,2016,Chile,22.25,0.6180555555555556,24.9,36,9,362.5,Fase 1,Fase 1
Deportes Tolima,2016,Colombia,18.0,0.34615384615384615,25.1,52,8,984.0,Fase 1,Fase 1
Barcelona SC Guayaquil,2016,Ecuador,22.35,0.720967741935484,24.1,31,3,556.0,Fase 1,Fase 1
CD Universidad Católica,2016,Ecuador,17.85,0.44625000000000004,22.4,40,6,556.0,Fase 1,Fase 1
Universitario de Deportes,2016,Perú,14.08,0.2873469387755102,22.7,49,8,340.0,Fase 1,Fase 1
Club Jorge Wilstermann ,2016,Bolivia,3.25,0.1625,26.7,20,5,390.0,Fase 1,Fase 1
SD Aucas,2016,Ecuador,12.38,0.28136363636363637,22.2,44,6,556.0,Fase 1,Fase 1
Deportivo Municipal,2016,Perú,6.88,0.19657142857142856,23.9,35,6,340.0,Fase 1,Fase 1
Club Plaza Colonia,2016,Uruguay,8.6,0.20476190476190476,23.6,42,6,374.0,Fase 1,Fase 1
CA Fénix,2016,Uruguay,11.05,0.27625,23.2,40,4,374.0,Fase 1,Fase 1
CD O'Higgins,2016,Chile,11.48,0.30210526315789477,23.8,38,8,362.5,Fase 1,Fase 1
Universidad Concepción,2016,Chile,11.68,0.2848780487804878,24.9,41,10,362.5,Fase 1,Fase 1
Deportivo Lara,2016,Venezuela,3.68,0.10222222222222223,23.1,36,4,414.0,Fase 1,Fase 1
Deportivo Anzoátegui SC,2016,Venezuela,5.1,0.10851063829787233,24.6,47,7,414.0,Fase 1,Fase 1
Club Atlético River Plate,2015,Argentina,105.03,2.334,24.5,45,8,990.0,Octavos de Final,Semifinales
Club Athletico Paranaense,2015,Brasil,48.45,0.9500000000000001,22.3,51,4,899.0,Fase 2,Cuartos de Final
Club Atlético Lanús,2015,Argentina,32.85,0.7821428571428571,24.9,42,5,990.0,Fase 2,Octavos de Final
Club Atlético Independiente,2015,Argentina,60.7,1.3795454545454546,24.2,44,5,990.0,Fase 2,Cuartos de Final
Club Libertad Asunción,2015,Paraguay,8.98,0.2040909090909091,24.2,44,5,709.0,Fase 1,Octavos de Final
Esporte Clube Bahia,2015,Brasil,28.68,0.40394366197183096,23.4,71,3,899.0,Fase 2,Fase 2
Junior de Barranquilla,2015,Colombia,13.8,0.35384615384615387,25.4,39,4,711.0,Fase 1,Fase 2
CD Universidad Católica,2015,Chile,19.55,0.44431818181818183,24.0,44,10,476.0,Fase 1,Fase 2
Club Olimpia Asunción,2015,Paraguay,14.0,0.4375,26.7,32,4,709.0,Fase 1,Octavos de Final
Deportes Tolima,2015,Colombia,8.6,0.2457142857142857,24.1,35,5,711.0,Fase 1,Octavos de Final
Club Nacional,2015,Uruguay,24.0,0.48,24.9,50,5,,Fase 1,Fase 2
Club Atlético Huracán,2015,Argentina,25.28,0.6482051282051282,26.9,39,2,990.0,Fase 2,Final
LDU Quito,2015,Ecuador,22.5,0.625,23.5,36,5,601.0,Fase 1,Octavos de Final
Sport Club do Recife,2015,Brasil,44.1,0.9187500000000001,23.5,48,0,899.0,Fase 2,Octavos de Final
Independiente Santa Fe,2015,Colombia,18.23,0.45575,24.4,40,5,711.0,Fase 1,Campeón
CS Emelec,2015,Ecuador,25.2,0.681081081081081,24.0,37,7,601.0,Fase 1,Octavos de Final
Associação Chapecoense de Futebol,2015,Brasil,28.6,0.7150000000000001,26.4,40,0,899.0,Fase 2,Cuartos de Final
Goiás Esporte Clube,2015,Brasil,32.08,0.5346666666666666,23.0,60,0,899.0,Fase 2,Fase 2
Associação Atlética Ponte Preta SP,2015,Brasil,30.8,0.5703703703703704,23.2,54,0,899.0,Fase 2,Fase 2
Bolívar La Paz,2015,Bolivia,6.33,0.15439024390243902,25.1,41,8,,Fase 1,Fase 1
CD Universidad Católica,2015,Ecuador,23.45,0.5211111111111111,22.0,45,6,601.0,Fase 1,Fase 1
Club Deportivo Huachipato,2015,Chile,5.95,0.1322222222222222,23.9,45,8,476.0,Fase 1,Fase 1
Águilas Doradas,2015,Colombia,17.18,0.3181481481481481,26.9,54,6,711.0,Fase 1,Fase 2
Club Atlético Tigre,2015,Argentina,24.3,0.5926829268292683,25.1,41,5,990.0,Fase 2,Fase 2
Universitario de Deportes,2015,Perú,11.05,0.29078947368421054,21.7,38,6,,Fase 1,Fase 2
Club Nacional Asunción,2015,Paraguay,4.95,0.12375,26.7,40,4,709.0,Fase 1,Fase 2
FBC Melgar,2015,Perú,6.7,0.18611111111111112,24.0,36,6,,Fase 1,Fase 1
Club Deportivo Oriente Petrolero,2015,Bolivia,4.1,0.08723404255319148,26.4,47,11,,Fase 1,Fase 1
Arsenal Fútbol Club,2015,Argentina,21.78,0.46340425531914897,24.8,47,7,990.0,Fase 2,Fase 2
Santiago Wanderers,2015,Chile,10.9,0.2794871794871795,23.6,39,9,476.0,Fase 1,Fase 1
CD Unión Comercio,2015,Perú,7.5,0.22058823529411764,25.0,34,8,,Fase 1,Fase 1
Sportivo Luqueño,2015,Paraguay,2.45,0.055681818181818186,26.7,44,9,709.0,Fase 1,Semifinales
Danubio FC,2015,Uruguay,18.9,0.40212765957446805,22.5,47,4,,Fase 1,Fase 1
Defensor Sporting Club,2015,Uruguay,29.9,0.6644444444444444,23.6,45,3,,Fase 1,Cuartos de Final
Deportivo La Guaira,2015,Venezuela,3.2,0.08205128205128205,25.2,39,6,,Fase 1,Fase 2
Club Atlético Belgrano,2015,Argentina,30.13,0.7725641025641026,26.3,39,3,990.0,Fase 2,Fase 2
Club Aurora,2015,Bolivia,0.4,0.00851063829787234,26.9,47,15,,Fase 1,Fase 1
Real Potosí,2015,Bolivia,0.85,0.017,26.3,50,13,,Fase 1,Fase 1
Universidad Concepción,2015,Chile,9.55,0.2448717948717949,26.0,39,13,476.0,Fase 1,Fase 1
Zamora FC,2015,Venezuela,0.45,0.013235294117647059,23.8,34,6,,Fase 1,Fase 1
Juventud de Las Piedras,2015,Uruguay,10.15,0.236046511627907,23.5,43,2,,Fase 1,Fase 2
Carabobo FC,2015,Venezuela,2.25,0.05921052631578947,22.7,38,5,,Fase 1,Fase 1
Joinville Esporte Clube (SC),2015,Brasil,29.67,0.5494444444444445,23.7,54,1,899.0,Fase 2,Fase 2
LDU de Loja,2015,Ecuador,9.65,0.21931818181818183,22.5,44,8,601.0,Fase 1,Fase 1
CD León de Huánuco,2015,Perú,7.18,0.17512195121951218,24.2,41,7,,Fase 1,Fase 1
Deportivo Anzoátegui SC,2015,Venezuela,1.9,0.054285714285714284,25.6,35,6,,Fase 1,Fase 1
Brasília Futebol Clube (DF),2015,Brasil,1.35,0.054000000000000006,27.0,25,0,899.0,Fase 2,Octavos de Final
Club Atlético River Plate,2014,Argentina,56.25,1.0817307692307692,23.1,52,7,938.0,Fase 2,Campeón
Club Atlético Boca Juniors,2014,Argentina,80.93,1.6186,23.9,50,6,938.0,Fase 2,Semifinales
São Paulo Futebol Clube,2014,Brasil,89.1,2.1214285714285714,24.9,42,5,893.0,Fase 2,Semifinales
Sport Club Internacional,2014,Brasil,32.6,0.758139534883721,23.5,43,4,893.0,Fase 2,Fase 2
Club Atlético Lanús,2014,Argentina,31.12,0.740952380952381,24.1,42,5,938.0,Octavos de Final,Octavos de Final
Fluminense Football Club,2014,Brasil,47.9,1.1975,23.1,40,2,893.0,Fase 2,Fase 2
Club Libertad Asunción,2014,Paraguay,6.98,0.218125,25.1,32,3,671.5,Fase 1,Octavos de Final
Club Estudiantes de La Plata,2014,Argentina,37.65,0.738235294117647,23.9,51,6,938.0,Fase 2,Cuartos de Final
Club Deportivo Godoy Cruz Antonio Tomba,2014,Argentina,21.2,0.39999999999999997,22.7,53,8,938.0,Fase 2,Fase 2
Club Cerro Porteño,2014,Paraguay,9.35,0.2597222222222222,24.3,36,3,671.5,Fase 1,Cuartos de Final
Esporte Clube Bahia,2014,Brasil,17.65,0.32090909090909087,24.1,55,6,893.0,Fase 2,Octavos de Final
Atlético Nacional,2014,Colombia,20.9,0.48604651162790696,23.7,43,2,697.5,Fase 1,Final
CA Peñarol,2014,Uruguay,21.0,0.4772727272727273,25.8,44,6,452.5,Fase 1,Octavos de Final
Club Atlético Rosario Central,2014,Argentina,18.35,0.3989130434782609,24.6,46,4,938.0,Fase 2,Fase 2
CD Universidad Católica,2014,Chile,23.45,0.5583333333333333,23.9,42,11,552.0,Fase 1,Fase 1
Independiente del Valle,2014,Ecuador,19.05,0.7055555555555556,22.4,27,5,627.5,Fase 1,Fase 2
Millonarios FC,2014,Colombia,17.88,0.5258823529411765,24.4,34,5,697.5,Fase 1,Fase 1
Sport Club do Recife,2014,Brasil,15.45,0.2663793103448276,25.0,58,3,893.0,Fase 2,Fase 2
Barcelona SC Guayaquil,2014,Ecuador,29.4,0.6391304347826087,24.7,46,11,627.5,Fase 1,Fase 2
Club de Gimnasia y Esgrima La Plata,2014,Argentina,14.3,0.325,23.1,44,5,938.0,Fase 2,Fase 2
Atletico River Plate Montevideo,2014,Uruguay,10.35,0.2797297297297297,23.3,37,6,452.5,Fase 1,Fase 2
CS Emelec,2014,Ecuador,28.13,0.6697619047619048,23.5,42,8,627.5,Fase 1,Cuartos de Final
Deportivo Cali,2014,Colombia,18.05,0.353921568627451,23.6,51,7,697.5,Fase 1,Fase 2
Goiás Esporte Clube,2014,Brasil,8.0,0.20512820512820512,23.2,39,0,893.0,Fase 2,Octavos de Final
CD Universidad Católica,2014,Ecuador,15.38,0.4156756756756757,20.7,37,4,627.5,Fase 1,Fase 2
Club Deportivo Huachipato,2014,Chile,7.2,0.175609756097561,24.4,41,8,552.0,Fase 1,Octavos de Final
Águilas Doradas,2014,Colombia,18.28,0.35843137254901963,26.7,51,8,697.5,Fase 1,Fase 1
Club Alianza Lima,2014,Perú,7.33,0.2036111111111111,23.3,36,3,305.5,Fase 1,Fase 1
Club Jorge Wilstermann ,2014,Bolivia,1.23,0.06473684210526316,25.8,19,5,461.0,Fase 1,Fase 1
CD Cobresal,2014,Chile,6.28,0.157,25.6,40,11,552.0,Fase 1,Fase 1
CA Rentistas,2014,Uruguay,8.83,0.20068181818181818,22.5,44,4,452.5,Fase 1,Fase 1
Caracas FC,2014,Venezuela,1.03,0.039615384615384615,23.6,26,1,360.5,Fase 1,Fase 2
Ayacucho FC,2014,Perú,4.8,0.12631578947368421,25.8,38,5,305.5,Fase 1,Fase 1
Esporte Clube Vitória,2014,Brasil,22.65,0.36532258064516127,24.2,62,7,893.0,Fase 2,Octavos de Final
Universidad César Vallejo,2014,Perú,4.58,0.1387878787878788,24.1,33,4,305.5,Fase 1,Cuartos de Final
Universidad Técnica de Cajamarca,2014,Perú,7.03,0.2267741935483871,26.0,31,4,305.5,Fase 1,Fase 1
CA Nacional Potosí,2014,Bolivia,1.15,0.06388888888888888,23.7,18,4,461.0,Fase 1,Fase 1
Danubio FC,2014,Uruguay,15.38,0.3204166666666667,22.9,48,3,452.5,Fase 1,Fase 1
Deportivo La Guaira,2014,Venezuela,2.0,0.1111111111111111,24.8,18,3,360.5,Fase 1,Fase 1
Club Deportes Iquique,2014,Chile,9.83,0.2286046511627907,24.0,43,8,552.0,Fase 1,Fase 1
Club Deportivo San José Oruro,2014,Bolivia,1.83,0.0915,26.4,20,6,461.0,Fase 1,Fase 1
Criciúma Esporte Clube,2014,Brasil,18.2,0.263768115942029,24.7,69,1,893.0,Fase 2,Fase 2
Trujillanos FC,2014,Venezuela,1.1,0.03793103448275863,24.7,29,5,360.5,Fase 1,Fase 1
Club General Díaz de Luque,2014,Paraguay,0.75,0.03260869565217391,24.8,23,2,671.5,Fase 1,Fase 2
Club Universitario de Sucre,2014,Bolivia,2.35,0.11190476190476191,26.3,21,8,461.0,Fase 1,Fase 2
Deportivo Capiatá,2014,Paraguay,1.55,0.05961538461538462,26.6,26,0,671.5,Fase 1,Octavos de Final
Deportivo Anzoátegui SC,2014,Venezuela,1.85,0.05,24.7,37,6,360.5,Fase 1,Fase 1
Club Atlético River Plate,2013,Argentina,46.05,0.9397959183673469,23.6,49,7,868.0,Fase 2,Cuartos de Final
São Paulo Futebol Clube,2013,Brasil,117.55,2.2179245283018867,23.3,53,4,896.0,Octavos de Final,Semifinales
Club Atlético Vélez Sarsfield,2013,Argentina,37.23,0.93075,22.5,40,4,868.0,Fase 2,Cuartos de Final
Club Atlético Lanús,2013,Argentina,26.87,0.688974358974359,23.7,39,4,868.0,Fase 2,Campeón
Racing Club,2013,Argentina,43.28,0.9836363636363636,23.6,44,6,868.0,Fase 2,Fase 2
Club Libertad Asunción,2013,Paraguay,9.33,0.27441176470588236,24.0,34,4,721.0,Fase 1,Semifinales
Club Atlético San Lorenzo de Almagro,2013,Argentina,51.8,1.126086956521739,23.8,46,6,868.0,Fase 2,Fase 2
Club Cerro Porteño,2013,Paraguay,13.98,0.3251162790697675,25.3,43,10,721.0,Fase 1,Fase 1
Esporte Clube Bahia,2013,Brasil,22.6,0.39649122807017545,23.8,57,4,896.0,Fase 2,Octavos de Final
Atlético Nacional,2013,Colombia,18.85,0.5094594594594595,23.2,37,1,724.5,Fase 1,Cuartos de Final
CA Peñarol,2013,Uruguay,21.35,0.4542553191489362,24.7,47,5,429.0,Fase 1,Fase 1
CD Universidad Católica,2013,Chile,21.25,0.46195652173913043,23.7,46,11,621.5,Fase 1,Octavos de Final
Independiente del Valle,2013,Ecuador,4.28,0.11888888888888889,21.3,36,5,587.5,Fase 1,Fase 2
Barcelona SC Guayaquil,2013,Ecuador,18.85,0.42840909090909096,24.3,44,10,587.5,Fase 1,Fase 1
Sport Club do Recife,2013,Brasil,4.93,0.12024390243902439,24.9,41,2,896.0,Fase 2,Octavos de Final
CSD Colo Colo,2013,Chile,20.28,0.4056,23.9,50,10,621.5,Fase 1,Fase 2
Atletico River Plate Montevideo,2013,Uruguay,7.98,0.23470588235294118,23.2,34,4,429.0,Fase 1,Fase 2
Clube Náutico Capibaribe,2013,Brasil,13.8,0.2653846153846154,23.2,52,3,896.0,Fase 2,Fase 2
Universidad de Chile,2013,Chile,18.88,0.4290909090909091,22.1,44,11,621.5,Fase 1,Octavos de Final
CS Emelec,2013,Ecuador,9.65,0.22976190476190478,23.4,42,6,587.5,Fase 1,Fase 2
Club Guaraní,2013,Paraguay,7.13,0.23766666666666666,25.5,30,8,721.0,Fase 1,Fase 2
Associação Atlética Ponte Preta SP,2013,Brasil,15.7,0.2706896551724138,22.7,58,4,896.0,Fase 2,Final
Coritiba Foot Ball Club,2013,Brasil,29.05,0.4272058823529412,23.7,68,5,896.0,Fase 2,Octavos de Final
CD La Equidad Seguros SA,2013,Colombia,15.9,0.318,24.7,50,4,724.5,Fase 1,Octavos de Final
Águilas Doradas,2013,Colombia,14.45,0.31413043478260866,24.8,46,5,724.5,Fase 1,Cuartos de Final
The Strongest La Paz,2013,Bolivia,1.48,0.05285714285714286,26.0,28,8,370.0,Fase 1,Fase 1
Asociación Deportivo Pasto,2013,Colombia,8.88,0.16754716981132076,23.0,53,5,724.5,Fase 1,Octavos de Final
Club Nacional Asunción,2013,Paraguay,1.75,0.0875,25.4,20,1,721.0,Fase 1,Fase 2
FBC Melgar,2013,Perú,2.58,0.07166666666666667,23.8,36,6,384.0,Fase 1,Fase 1
Club Deportivo Oriente Petrolero,2013,Bolivia,3.4,0.12142857142857143,24.6,28,11,370.0,Fase 1,Fase 1
Montevideo Wanderers,2013,Uruguay,9.55,0.23875000000000002,22.3,40,4,429.0,Fase 1,Fase 1
Sport Huancayo,2013,Perú,2.43,0.06394736842105264,25.2,38,6,384.0,Fase 1,Fase 1
Ayacucho FC,2013,Perú,4.85,0.11547619047619047,25.6,42,7,384.0,Fase 1,Fase 1
Esporte Clube Vitória,2013,Brasil,17.2,0.3127272727272727,23.2,55,5,896.0,Fase 2,Fase 2
Blooming Santa Cruz,2013,Bolivia,4.55,0.1338235294117647,26.7,34,10,370.0,Fase 1,Fase 1
Club Atlético Belgrano,2013,Argentina,11.8,0.3470588235294118,25.6,34,4,868.0,Fase 2,Fase 2
Real Potosí,2013,Bolivia,0.6,0.031578947368421054,23.8,19,7,370.0,Fase 1,Fase 1
Deportivo Lara,2013,Venezuela,2.43,0.07363636363636364,25.9,33,6,351.0,Fase 1,Fase 1
Club Juan Aurich,2013,Perú,6.55,0.15232558139534882,22.5,43,6,384.0,Fase 1,Fase 1
Deportes Cobreloa,2013,Chile,11.08,0.25181818181818183,24.7,44,14,621.5,Fase 1,Fase 2
Mineros de Guayana,2013,Venezuela,4.45,0.10595238095238095,26.6,42,9,351.0,Fase 1,Fase 2
Criciúma Esporte Clube,2013,Brasil,15.55,0.311,24.0,50,1,896.0,Fase 2,Fase 2
Trujillanos FC,2013,Venezuela,0.95,0.02638888888888889,23.6,36,7,351.0,Fase 1,Fase 1
Associação Portuguesa de Desportos (SP) ,2013,Brasil,16.9,0.31886792452830187,23.2,53,4,896.0,Fase 2,Fase 2
LDU de Loja,2013,Ecuador,2.2,0.04782608695652174,23.1,46,7,587.5,Fase 1,Octavos de Final
Deportivo Anzoátegui SC,2013,Venezuela,2.53,0.061707317073170724,24.0,41,10,351.0,Fase 1,Fase 1
El Tanque Sisley,2013,Uruguay,7.75,0.20394736842105263,24.6,38,5,429.0,Fase 1,Fase 1
Sociedade Esportiva Palmeiras,2012,Brasil,46.45,0.7614754098360657,23.4,61,3,1058.0,Fase 2,Octavos de Final
Club Atlético Boca Juniors,2012,Argentina,38.09,0.7468627450980393,23.4,51,4,919.0,Fase 2,Fase 2
Grêmio Foot-Ball Porto Alegrense,2012,Brasil,41.45,0.986904761904762,24.0,42,3,1058.0,Fase 2,Cuartos de Final
São Paulo Futebol Clube,2012,Brasil,122.05,2.3471153846153845,22.9,52,5,1058.0,Fase 2,Campeón
Club Atlético Independiente,2012,Argentina,23.3,0.541860465116279,24.3,43,6,919.0,Fase 2,Cuartos de Final
Racing Club,2012,Argentina,45.4,1.164102564102564,24.1,39,6,919.0,Fase 2,Fase 2
Club Atlético Colón,2012,Argentina,22.13,0.6322857142857142,24.7,35,3,919.0,Fase 2,Octavos de Final
Asociación Atlética Argentinos Juniors,2012,Argentina,18.48,0.4106666666666667,23.1,45,4,919.0,Fase 2,Fase 2
Club Cerro Porteño,2012,Paraguay,12.03,0.4626923076923077,26.4,26,8,712.5,Fase 2,Cuartos de Final
Esporte Clube Bahia,2012,Brasil,18.3,0.3734693877551021,23.3,49,0,1058.0,Fase 2,Fase 2
Botafogo de Futebol e Regatas,2012,Brasil,39.8,0.7653846153846153,23.1,52,6,1058.0,Fase 2,Fase 2
CD Universidad Católica,2012,Chile,24.3,0.45849056603773586,22.7,53,9,711.5,Fase 1,Semifinales
Club Olimpia Asunción,2012,Paraguay,15.93,0.4551428571428571,25.5,35,12,712.5,Fase 1,Fase 2
Atlético Clube Goianiense,2012,Brasil,12.3,0.25625000000000003,24.1,48,0,1058.0,Fase 2,Octavos de Final
Club Nacional,2012,Uruguay,22.8,0.5066666666666667,24.3,45,8,493.0,Fase 1,Fase 2
Deportes Tolima,2012,Colombia,14.78,0.43470588235294116,24.6,34,5,589.0,Fase 1,Fase 2
Millonarios FC,2012,Colombia,17.8,0.49444444444444446,23.5,36,5,589.0,Fase 1,Semifinales
Barcelona SC Guayaquil,2012,Ecuador,17.15,0.3897727272727272,23.7,44,9,688.0,Fase 1,Octavos de Final
Universidad de Chile,2012,Chile,24.08,0.602,21.5,40,10,711.5,Octavos de Final,Cuartos de Final
CS Emelec,2012,Ecuador,7.8,0.1625,24.9,48,8,688.0,Fase 1,Octavos de Final
Club Guaraní,2012,Paraguay,4.68,0.2127272727272727,25.3,22,8,712.5,Fase 1,Fase 2
Coritiba Foot Ball Club,2012,Brasil,19.65,0.35727272727272724,23.2,55,3,1058.0,Fase 2,Fase 2
CD La Equidad Seguros SA,2012,Colombia,19.98,0.3769811320754717,25.0,53,5,589.0,Fase 1,Fase 1
Liverpool FC Montevideo,2012,Uruguay,13.95,0.3244186046511628,23.4,43,1,493.0,Fase 1,Octavos de Final
Envigado FC,2012,Colombia,12.33,0.3161538461538462,22.8,39,1,589.0,Fase 1,Fase 2
Club Atlético Tigre,2012,Argentina,19.35,0.522972972972973,26.0,37,3,919.0,Fase 2,Final
Club Deportivo Oriente Petrolero,2012,Bolivia,0.9,0.05,22.3,18,6,387.0,Fase 1,Fase 1
Cerro Largo FC,2012,Uruguay,8.33,0.18511111111111112,23.7,45,5,493.0,Fase 1,Fase 1
CD O'Higgins,2012,Chile,10.05,0.26447368421052636,22.2,38,9,711.5,Fase 1,Fase 1
Ayacucho FC,2012,Perú,4.3,0.086,23.3,50,7,445.5,Fase 1,Fase 1
Universidad San Martín de Porres,2012,Perú,6.5,0.17105263157894737,23.0,38,7,445.5,Fase 1,Fase 1
CD Unión Comercio,2012,Perú,3.93,0.10621621621621621,22.1,37,6,445.5,Fase 1,Fase 1
Deportivo Táchira,2012,Venezuela,8.55,0.19,24.5,45,10,290.0,Fase 1,Fase 1
Danubio FC,2012,Uruguay,7.75,0.2152777777777778,23.1,36,2,493.0,Fase 1,Fase 1
Blooming Santa Cruz,2012,Bolivia,1.95,0.0975,26.9,20,6,387.0,Fase 1,Fase 1
Club Aurora,2012,Bolivia,1.5,0.039473684210526314,26.0,38,11,387.0,Fase 1,Fase 2
Monagas SC,2012,Venezuela,1.7,0.041463414634146344,23.2,41,10,290.0,Fase 1,Fase 1
Club Deportes Iquique,2012,Chile,9.48,0.22571428571428573,24.6,42,9,711.5,Fase 1,Fase 1
Deportivo Lara,2012,Venezuela,3.08,0.09333333333333334,26.9,33,6,290.0,Fase 1,Fase 1
Deportes Cobreloa,2012,Chile,9.75,0.25,23.9,39,12,711.5,Fase 1,Fase 2
Figueirense Futebol Clube,2012,Brasil,18.65,0.3008064516129032,22.6,62,7,1058.0,Fase 2,Fase 2
Mineros de Guayana,2012,Venezuela,6.2,0.17714285714285716,25.9,35,7,290.0,Fase 1,Fase 2
Deportivo Quito,2012,Ecuador,8.0,0.15384615384615385,24.1,52,11,688.0,Fase 1,Octavos de Final
Club Universitario de Sucre,2012,Bolivia,0.4,0.022222222222222223,25.6,18,4,387.0,Fase 1,Fase 1
LDU de Loja,2012,Ecuador,3.5,0.06140350877192982,24.5,57,7,688.0,Fase 1,Octavos de Final
Tacuary Football Club,2012,Paraguay,0.45,0.02368421052631579,21.0,19,1,712.5,Fase 1,Fase 1
CD León de Huánuco,2012,Perú,3.65,0.08488372093023255,22.6,43,5,445.5,Fase 1,Fase 1
Clube de Regatas do Flamengo,2011,Brasil,50.6,1.012,23.1,50,4,889.0,Fase 2,Octavos de Final
Sociedade Esportiva Palmeiras,2011,Brasil,52.3,1.1369565217391304,23.6,46,2,889.0,Fase 2,Fase 2
Clube Atlético Mineiro,2011,Brasil,50.9,0.807936507936508,24.3,63,4,889.0,Fase 2,Fase 2
São Paulo Futebol Clube,2011,Brasil,82.08,1.6094117647058823,22.4,51,3,889.0,Fase 2,Octavos de Final
Club Atlético Vélez Sarsfield,2011,Argentina,35.03,0.854390243902439,23.8,41,4,840.0,Fase 2,Semifinales
Club Athletico Paranaense,2011,Brasil,25.15,0.5848837209302326,23.3,43,4,889.0,Fase 2,Fase 2
Club Atlético Lanús,2011,Argentina,34.65,1.05,23.5,33,5,840.0,Fase 2,Fase 2
Club Atlético Independiente,2011,Argentina,44.23,0.8845999999999999,24.6,50,8,840.0,Octavos de Final,Octavos de Final
Club Libertad Asunción,2011,Paraguay,15.2,0.4108108108108108,24.2,37,7,725.0,Fase 2,Cuartos de Final
Club Estudiantes de La Plata,2011,Argentina,35.4,0.8634146341463415,23.9,41,6,840.0,Fase 2,Fase 2
Asociación Atlética Argentinos Juniors,2011,Argentina,18.03,0.34018867924528307,22.7,53,6,840.0,Fase 2,Fase 2
Club de Regatas Vasco da Gama,2011,Brasil,40.45,0.7778846153846154,23.4,52,2,889.0,Fase 2,Semifinales
Club Deportivo Godoy Cruz Antonio Tomba,2011,Argentina,20.93,0.5366666666666666,24.7,39,4,840.0,Fase 2,Octavos de Final
Botafogo de Futebol e Regatas,2011,Brasil,33.25,0.95,23.4,35,5,889.0,Fase 2,Octavos de Final
CD Universidad Católica,2011,Chile,17.45,0.39659090909090905,22.8,44,10,741.5,Fase 1,Octavos de Final
Club Olimpia Asunción,2011,Paraguay,17.75,0.4127906976744186,25.7,43,13,725.0,Fase 1,Octavos de Final
Club Nacional,2011,Uruguay,25.35,0.5393617021276597,23.2,47,10,426.5,Fase 2,Fase 2
Ceará Sporting Club,2011,Brasil,18.35,0.36700000000000005,25.6,50,0,889.0,Fase 2,Fase 2
LDU Quito,2011,Ecuador,18.48,0.44,26.1,42,8,619.5,Fase 1,Final
Independiente Santa Fe,2011,Colombia,20.13,0.40259999999999996,24.2,50,7,617.0,Fase 1,Cuartos de Final
Universidad de Chile,2011,Chile,22.0,0.6285714285714286,22.7,35,7,741.5,Fase 1,Campeón
CS Emelec,2011,Ecuador,7.9,0.1926829268292683,24.9,41,9,619.5,Fase 2,Fase 2
Deportivo Cali,2011,Colombia,7.13,0.155,22.4,46,5,617.0,Fase 2,Fase 2
CD La Equidad Seguros SA,2011,Colombia,8.45,0.17978723404255317,23.5,47,4,617.0,Fase 1,Fase 2
The Strongest La Paz,2011,Bolivia,0.85,0.0265625,27.0,32,10,307.0,Fase 1,Fase 1
Universitario de Deportes,2011,Perú,7.68,0.17454545454545453,22.8,44,4,380.0,Fase 2,Cuartos de Final
Club Nacional Asunción,2011,Paraguay,4.35,0.1403225806451613,25.6,31,2,725.0,Fase 1,Fase 2
Arsenal Fútbol Club,2011,Argentina,25.68,0.856,24.8,30,2,840.0,Fase 2,Cuartos de Final
CA Fénix,2011,Uruguay,10.85,0.2583333333333333,22.8,42,8,426.5,Fase 1,Fase 1
Universidad César Vallejo,2011,Perú,6.8,0.14468085106382977,25.8,47,8,380.0,Fase 1,Fase 1
Club Aurora,2011,Bolivia,1.43,0.046129032258064515,26.9,31,10,307.0,Fase 2,Octavos de Final
Club Deportes Iquique,2011,Chile,5.8,0.1611111111111111,26.6,36,9,741.5,Fase 2,Fase 2
Club Juan Aurich,2011,Perú,7.08,0.19666666666666666,24.5,36,5,380.0,Fase 1,Fase 1
Yaracuyanos Fútbol Club,2011,Venezuela,0.225,0.00625,23.5,36,9,290.0,Fase 1,Fase 1
Club Deportivo San José Oruro,2011,Bolivia,1.38,0.03209302325581395,25.6,43,10,307.0,Fase 1,Fase 1
Trujillanos FC,2011,Venezuela,0.625,0.016891891891891893,22.7,37,7,290.0,Fase 2,Fase 2
Deportivo Quito,2011,Ecuador,10.85,0.2358695652173913,26.4,46,11,619.5,Fase 1,Fase 1
Club Atlético Bella Vista,2011,Uruguay,11.3,0.28250000000000003,24.8,40,3,426.5,Fase 1,Fase 1
Deportivo Anzoátegui SC,2011,Venezuela,3.05,0.07261904761904761,23.4,42,9,290.0,Fase 1,Fase 2
Sociedade Esportiva Palmeiras,2010,Brasil,54.85,1.097,22.2,50,3,982.0,Fase 2,Semifinales
Clube Atlético Mineiro,2010,Brasil,53.15,0.83046875,23.4,64,6,982.0,Fase 2,Cuartos de Final
Grêmio Foot-Ball Porto Alegrense,2010,Brasil,48.25,1.1488095238095237,23.0,42,1,982.0,Fase 2,Fase 2
Club Atlético Vélez Sarsfield,2010,Argentina,50.23,1.3575675675675676,23.7,37,3,861.0,Fase 2,Fase 2
